file,source,title,creator,creator_url,license,license_url,landing_url,url,query,width,height
7a338b8ca23f.jpg,wikimedia-commons,File:Soda bottle in India.jpeg,Visdaviva,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Soda_bottle_in_India.jpeg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/Soda_bottle_in_India.jpeg/1280px-Soda_bottle_in_India.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,1707
98419b7f9903.jpg,wikimedia-commons,File:Soda bottle scribble.svg,Nevit Dilmen (talk),,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Soda_bottle_scribble.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/66/Soda_bottle_scribble.svg/1280px-Soda_bottle_scribble.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,2898
1e0ad6ea08d0.jpg,wikimedia-commons,File:Soda bottle shelf.jpg,Anselm Schüler,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Soda_bottle_shelf.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2f/Soda_bottle_shelf.jpg/1280px-Soda_bottle_shelf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,1707
f2be870961c2.jpg,wikimedia-commons,File:Soda bottles.jpg,Louna861,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Soda_bottles.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/64/Soda_bottles.jpg/1280px-Soda_bottles.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,1707
a2d0a7bbee68.jpg,wikimedia-commons,"File:Soda bottles at the ALDI supermarket, Oude Pekela (2019).jpg",Donald Trung Quoc Don (Chữ Hán: 徵國單) - Wikimedia Commons.(Want to use this image?),,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Soda_bottles_at_the_ALDI_supermarket,_Oude_Pekela_(2019).jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f9/Soda_bottles_at_the_ALDI_supermarket%2C_Oude_Pekela_%282019%29.jpg/1280px-Soda_bottles_at_the_ALDI_supermarket%2C_Oude_Pekela_%282019%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,720
b174ac70eebb.jpg,wikimedia-commons,File:Soda bottles for sale - Malvern Spring Show 2010 - geograph.org.uk - 1848313.jpg,Mick Lobb,,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Soda_bottles_for_sale_-_Malvern_Spring_Show_2010_-_geograph.org.uk_-_1848313.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b3/Soda_bottles_for_sale_-_Malvern_Spring_Show_2010_-_geograph.org.uk_-_1848313.jpg/1280px-Soda_bottles_for_sale_-_Malvern_Spring_Show_2010_-_geograph.org.uk_-_1848313.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,836
7515a1a3dc10.jpg,wikimedia-commons,File:Soda bottles in Mazatlán.jpg,peanutian,,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Soda_bottles_in_Mazatl%C3%A1n.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/93/Soda_bottles_in_Mazatl%C3%A1n.jpg/1280px-Soda_bottles_in_Mazatl%C3%A1n.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,851
08a6496f1053.jpg,wikimedia-commons,"File:Soda jerk with bottle of phosphoric acid, Franklin Fountain, Philadelphia, Pennsylvania - 20110501.jpg",MatthewVanitas.,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Soda_jerk_with_bottle_of_phosphoric_acid,_Franklin_Fountain,_Philadelphia,_Pennsylvania_-_20110501.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dc/Soda_jerk_with_bottle_of_phosphoric_acid%2C_Franklin_Fountain%2C_Philadelphia%2C_Pennsylvania_-_20110501.jpg/1280px-Soda_jerk_with_bottle_of_phosphoric_acid%2C_Franklin_Fountain%2C_Philadelphia%2C_Pennsylvania_-_20110501.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,960
252d5d3880cf.jpg,wikimedia-commons,"File:Soda syphons, 3 Hunyadi square, 2018 Terézváros.jpg",Globetrotter19,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Soda_syphons,_3_Hunyadi_square,_2018_Ter%C3%A9zv%C3%A1ros.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b3/Soda_syphons%2C_3_Hunyadi_square%2C_2018_Ter%C3%A9zv%C3%A1ros.jpg/1280px-Soda_syphons%2C_3_Hunyadi_square%2C_2018_Ter%C3%A9zv%C3%A1ros.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,960
c1f86a5928d5.jpg,wikimedia-commons,File:Sparklets New York Soda Siphon 1930.jpg,Johnnyjohnstein,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Sparklets_New_York_Soda_Siphon_1930.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/67/Sparklets_New_York_Soda_Siphon_1930.jpg/1280px-Sparklets_New_York_Soda_Siphon_1930.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,2414
5c4091c521e6.jpg,wikimedia-commons,"File:The Pop Shoppe, Cream Soda, Canada (obverse), 2026-03-05.jpg",Chris Woodrich,,Public domain,,"https://commons.wikimedia.org/wiki/File:The_Pop_Shoppe,_Cream_Soda,_Canada_(obverse),_2026-03-05.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/8/80/The_Pop_Shoppe%2C_Cream_Soda%2C_Canada_%28obverse%29%2C_2026-03-05.jpg/1280px-The_Pop_Shoppe%2C_Cream_Soda%2C_Canada_%28obverse%29%2C_2026-03-05.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,2189
bf75c2cb73bf.jpg,wikimedia-commons,"File:The Pop Shoppe, Cream Soda, Canada (reverse), 2026-03-05.jpg",Chris Woodrich,,Public domain,,"https://commons.wikimedia.org/wiki/File:The_Pop_Shoppe,_Cream_Soda,_Canada_(reverse),_2026-03-05.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9b/The_Pop_Shoppe%2C_Cream_Soda%2C_Canada_%28reverse%29%2C_2026-03-05.jpg/1280px-The_Pop_Shoppe%2C_Cream_Soda%2C_Canada_%28reverse%29%2C_2026-03-05.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,soda bottles,1280,2227
5b2fd60320d6.jpg,wikimedia-commons,"File:3 floors, different offerings. Taproom- Craft beer, bottled punch, whiskeys, lunch. Parlor- Small plates, punch, 72 historically-accurate cocktails Occasional Room- Holding Room for Parlor, Whisky Tasting Station, private parties.jpg",loustejskal.com,,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"https://commons.wikimedia.org/wiki/File:3_floors,_different_offerings._Taproom-_Craft_beer,_bottled_punch,_whiskeys,_lunch._Parlor-_Small_plates,_punch,_72_historically-accurate_cocktails_Occasional_Room-_Holding_Room_for_Parlor,_Whisky_Tasting_Station,_private_parties.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/2/24/3_floors%2C_different_offerings._Taproom-_Craft_beer%2C_bottled_punch%2C_whiskeys%2C_lunch._Parlor-_Small_plates%2C_punch%2C_72_historically-accurate_cocktails_Occasional_Room-_Holding_Room_for_Parlor%2C_Whisky_Tasting_Station%2C_private_parties.jpg/1280px-thumbnail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,craft beer bottles,1280,853
