slug,name,file,title,creator,license,license_url,landing_url
bourbon,Bourbon whiskey bottle,bourbon.jpg,File:Bourbon-bottle from Gettysburg.jpeg,"Gettysburg National Military Park, GETT 31373",Public domain,,https://commons.wikimedia.org/wiki/File:Bourbon-bottle_from_Gettysburg.jpeg
bourbon_or_rye,Bourbon whiskey bottle,bourbon_or_rye.jpg,File:Bourbon-bottle from Gettysburg.jpeg,"Gettysburg National Military Park, GETT 31373",Public domain,,https://commons.wikimedia.org/wiki/File:Bourbon-bottle_from_Gettysburg.jpeg
calvados,Calvados apple brandy bottle,calvados.jpg,File:Calvados Domfrontais.jpg,Steven Walling,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Calvados_Domfrontais.jpg
campari,Campari bottle,campari.jpg,File:Bottle of Campari (United States).jpg,Kenneth C. Zirkel,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Bottle_of_Campari_(United_States).jpg
champagne,Champagne bottle,champagne.jpg,File:Champagne flute and bottle.jpg,"Taken on September 22, 2005",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Champagne_flute_and_bottle.jpg
chartreuse_green,Green Chartreuse bottle,chartreuse_green.jpg,File:Chartreuse-Liqueur 7588.JPG,Karl Gruber,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Chartreuse-Liqueur_7588.JPG
chartreuse_yellow,Yellow Chartreuse bottle,chartreuse_yellow.jpg,File:Chartreuse jaune.JPG,Blois-Blois,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Chartreuse_jaune.JPG
cherry_brandy,Cherry brandy bottle,cherry_brandy.jpg,File:Ginjinha Cherry Brandy Lisbon (5439781258).jpg,"Christine  Zenino from Chicago, US",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Ginjinha_Cherry_Brandy_Lisbon_(5439781258).jpg
citron_vodka,Citron vodka bottle,citron_vodka.jpg,File:480 Sète - Colonel (sorbet citron + vodka) (7993649785) (2).jpg,hebdromadaires,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:480_S%C3%A8te_-_Colonel_(sorbet_citron_%2B_vodka)_(7993649785)_(2).jpg
coconut_rum,Coconut rum bottle,coconut_rum.jpg,"File:SelvaRey Chocolate, White, and Coconut Rums against backdrop.jpg",CJCurrie,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:SelvaRey_Chocolate,_White,_and_Coconut_Rums_against_backdrop.jpg"
cointreau,Cointreau bottle,cointreau.jpg,File:Cointreau original v4.jpg,GaelCate,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Cointreau_original_v4.jpg
creme_de_cacao_white,Creme de cacao bottle,creme_de_cacao_white.jpg,"File:Doorzichtig glazen fles Hulstkamp crème de cacao, groen en veelkleurig, objectnr 73994.JPG",opdrachtgever: fa. Hulstkamp,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Doorzichtig_glazen_fles_Hulstkamp_cr%C3%A8me_de_cacao,_groen_en_veelkleurig,_objectnr_73994.JPG"
creme_de_cassis,Creme de cassis bottle,creme_de_cassis.jpg,File:Creme de Cassis.jpg,ja:User:NEON / User:NEON_ja,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,https://commons.wikimedia.org/wiki/File:Creme_de_Cassis.jpg
creme_de_menthe_white,Creme de menthe bottle,creme_de_menthe_white.jpg,File:Creme de menthe.jpg,M.Lawrenson,Public domain,,https://commons.wikimedia.org/wiki/File:Creme_de_menthe.jpg
drambuie,Drambuie bottle,drambuie.jpg,File:Drambuie bottle.jpg,MaskedSinger,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Drambuie_bottle.jpg
dry_vermouth,Dry vermouth bottle,dry_vermouth.jpg,File:Dolin's Vermouth (Dry) 01.jpg,Indrajit Das,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Dolin%27s_Vermouth_(Dry)_01.jpg
falernum,Falernum bottle,falernum.jpg,File:Falernum.jpg,Craig Hermann,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Falernum.jpg
fernet,Fernet Branca bottle,fernet.jpg,File:Fernetbranca.jpg,Didier Descouens,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Fernetbranca.jpg
frangelico,Frangelico bottle,frangelico.jpg,File:Frangelico Liqueur.jpg,"Marieke Kuijjer from Leiden, The Netherlands",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Frangelico_Liqueur.jpg
gin,Gin bottle,gin.jpg,File:Hendricks Gin Glorifier balance antique.jpg,Pierre André Leclercq,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Hendricks_Gin_Glorifier_balance_antique.jpg
gold_rum,Gold rum bottle,gold_rum.jpg,File:Barracuda Gold Rum.jpg,JIP,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Barracuda_Gold_Rum.jpg
grappa,Grappa bottle,grappa.jpg,File:Grappa Storica Nera Bottle.jpg,AlMare,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,https://commons.wikimedia.org/wiki/File:Grappa_Storica_Nera_Bottle.jpg
irish_whiskey,Irish whiskey bottle,irish_whiskey.jpg,File:James Irish Blended Whiskey 01.jpg,Indrajit Das,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:James_Irish_Blended_Whiskey_01.jpg
islay_scotch,Islay whisky bottle,islay_scotch.jpg,File:Lagavulin Islay Single Malt Scotch Whisky The Distillers edition.jpg,Look Sharp!,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Lagavulin_Islay_Single_Malt_Scotch_Whisky_The_Distillers_edition.jpg
jamaican_rum,Jamaican rum bottle,jamaican_rum.jpg,File:Appleton Estate V-X Jamaica Rum-front shot.jpg,Nebrot,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Appleton_Estate_V-X_Jamaica_Rum-front_shot.jpg
